actors_id,movies_id,role,name,birthdate,nationality,title,genre,release_year,studios_id,studio_name,location
356,186,hot,Steven Johnson,1996-07-02,Canada,Poor almost.,Drama,1992,7,Henderson LLC,West Cassie
94,185,third,Eric Anderson,1982-05-05,USA,Good wide office.,Drama,2013,6,Martin PLC,North Pamela
52,182,site,Christine Brooks,1987-12-14,UK,Real responsibility kind.,Comedy,1996,9,"Johnson, Smith and Myers",New Samanthachester
229,44,foot,Lori Ayala,1947-11-03,USA,Former player similar.,Action,2020,7,Henderson LLC,West Cassie
9,231,wonder,Lauren Smith,1961-08-02,Australia,Memory.,Drama,1996,9,"Johnson, Smith and Myers",New Samanthachester
178,184,concern,Veronica Elliott,1998-03-09,Canada,National five hot.,Comedy,1995,4,Hanna-Lowe,South Michaelhaven
247,146,training,Justin Quinn,1945-11-10,Australia,Field authority student.,Comedy,2002,4,Hanna-Lowe,South Michaelhaven
220,154,network,Kristen Wu,1953-02-06,USA,Cost.,Comedy,2008,4,Hanna-Lowe,South Michaelhaven
82,20,data,Veronica Mathis,1988-12-13,USA,Fine him.,Drama,1986,8,Burton-Clayton,Keithfurt
59,63,possible,Jesse Lowe,1966-03-09,Australia,Exist discussion continue.,Comedy,2016,3,Edwards PLC,North Branditown
181,152,film,Zachary Johnson,1976-08-24,USA,Thought understand.,Comedy,1982,8,Burton-Clayton,Keithfurt
266,215,fight,Jonathan Cruz,1984-01-02,Canada,Reality near.,Action,2000,8,Burton-Clayton,Keithfurt
388,43,somebody,Paula Williams,1951-04-20,Australia,Available.,Drama,1980,14,Hurley-Blankenship,New Laurenfurt
172,202,impact,Laura Sherman,1995-04-03,USA,Watch enough base.,Horror,1997,15,Schultz-Mann,North Roberto
107,50,put,Blake Garcia,1974-02-08,UK,Pull charge cup social.,Comedy,1999,5,Frazier-Turner,Ramosshire
184,251,dinner,Steve Williamson,1971-09-22,Australia,Sing difficult.,Action,2008,9,"Johnson, Smith and Myers",New Samanthachester
58,192,outside,Melissa Garza,1950-06-07,Australia,Increase with.,Comedy,2020,2,Cole PLC,Wilsonburgh
275,272,former,Jamie Young,1984-01-31,USA,Think door behind.,Drama,2023,10,Smith-Fuentes,North David
164,101,moment,Austin Dean,1975-10-30,USA,Prevent type.,Drama,2024,11,"Lopez, Robinson and Sloan",Port Aprilport
357,191,recently,Marcus Obrien,1980-11-09,UK,Cell sign meet.,Drama,2009,3,Edwards PLC,North Branditown
344,50,born,Lynn Horton,1977-11-09,USA,Pull charge cup social.,Comedy,1999,5,Frazier-Turner,Ramosshire
8,203,wide,Joseph Lewis,1944-09-22,UK,Green father drop affect.,Comedy,2012,11,"Lopez, Robinson and Sloan",Port Aprilport
256,10,truth,Neil Wilson,1961-10-15,Canada,My sure.,Comedy,2017,1,Berry LLC,New Charlesfurt
146,48,once,Felicia Hernandez,1984-10-14,USA,Effort address us.,Drama,2009,11,"Lopez, Robinson and Sloan",Port Aprilport
395,68,force,Gabriel Ferrell,1984-07-06,UK,Represent open hour design.,Action,1983,10,Smith-Fuentes,North David
293,18,fly,Cindy Howell,2005-02-22,USA,Effort music that piece.,Comedy,2011,9,"Johnson, Smith and Myers",New Samanthachester
97,17,business,Victoria Mitchell DVM,1992-02-10,UK,Side local.,Drama,2009,1,Berry LLC,New Charlesfurt
318,185,production,Leslie Ball,1980-04-12,Australia,Good wide office.,Drama,2013,6,Martin PLC,North Pamela
30,55,believe,Laura Villegas,1944-07-26,USA,Usually attention.,Horror,1996,11,"Lopez, Robinson and Sloan",Port Aprilport
199,187,early,Crystal Chapman,1958-06-25,Canada,Generation method line.,Horror,1984,9,"Johnson, Smith and Myers",New Samanthachester
114,261,baby,Michael Mitchell,1982-06-23,UK,Old performance.,Action,2019,1,Berry LLC,New Charlesfurt
316,68,stuff,Madison Green,1990-03-11,USA,Represent open hour design.,Action,1983,10,Smith-Fuentes,North David
58,59,soldier,Melissa Garza,1950-06-07,Australia,Yard lose quickly.,Drama,2009,13,Moore LLC,Roblesfurt
66,77,shake,Allen Brown,1991-05-28,UK,Break matter.,Comedy,2021,9,"Johnson, Smith and Myers",New Samanthachester
73,196,miss,Jordan Wright,1995-01-16,USA,Value race feeling.,Comedy,1984,3,Edwards PLC,North Branditown
164,23,black,Austin Dean,1975-10-30,USA,Per deal.,Action,1987,3,Edwards PLC,North Branditown
28,248,seven,Martha Cook,1987-02-01,USA,Role save two statement.,Horror,1987,15,Schultz-Mann,North Roberto
330,170,painting,Samantha Hodge,1959-03-06,Canada,Too common close.,Horror,2006,6,Martin PLC,North Pamela
400,298,world,Ernest Johnson,1981-08-30,Canada,Level throughout fill.,Action,1991,13,Moore LLC,Roblesfurt
45,194,buy,Nathaniel Hooper,1953-07-04,UK,Might bad step.,Action,1996,14,Hurley-Blankenship,New Laurenfurt
99,101,such,Douglas Perez,1946-06-25,USA,Prevent type.,Drama,2024,11,"Lopez, Robinson and Sloan",Port Aprilport
249,288,common,Richard Perez,1960-05-29,Canada,Back artist if.,Action,2006,8,Burton-Clayton,Keithfurt
172,19,rather,Laura Sherman,1995-04-03,USA,Something consumer paper.,Comedy,2013,12,Martin-Harrell,Moralesmouth
259,44,level,Andrew Robbins,1985-09-03,USA,Former player similar.,Action,2020,7,Henderson LLC,West Cassie
47,284,six,Kaitlyn Gregory,1981-11-13,UK,Return nature grow.,Action,2004,11,"Lopez, Robinson and Sloan",Port Aprilport
286,162,friend,Rodney Wells,1971-03-08,Canada,At discover approach.,Drama,1988,14,Hurley-Blankenship,New Laurenfurt
61,27,well,Tracy Brown,1979-05-28,USA,Series common.,Horror,2016,10,Smith-Fuentes,North David
321,39,poor,Patrick Odonnell,1984-01-17,USA,Oil someone.,Drama,1980,5,Frazier-Turner,Ramosshire
213,120,lawyer,Julie Gonzalez,1988-12-08,UK,Available.,Horror,2012,8,Burton-Clayton,Keithfurt
159,114,impact,Caitlyn Santos,1952-06-03,Australia,Of treat.,Action,2015,4,Hanna-Lowe,South Michaelhaven
62,231,defense,Debbie Mccoy,2001-12-19,Canada,Memory.,Drama,1996,9,"Johnson, Smith and Myers",New Samanthachester
178,58,understand,Veronica Elliott,1998-03-09,Canada,Cover two investment.,Action,1982,6,Martin PLC,North Pamela
68,135,on,Brittney Joyce,1946-04-05,Canada,Weight across.,Horror,1995,3,Edwards PLC,North Branditown
203,223,across,Kyle Banks,1982-06-24,Canada,Top every level vote.,Drama,2003,7,Henderson LLC,West Cassie
342,268,right,Brett Reyes,1990-06-30,USA,Firm.,Horror,2020,12,Martin-Harrell,Moralesmouth
266,292,film,Jonathan Cruz,1984-01-02,Canada,Value.,Drama,2019,9,"Johnson, Smith and Myers",New Samanthachester
117,124,two,Chad Howell,1993-02-26,USA,Resource people.,Horror,2008,13,Moore LLC,Roblesfurt
88,63,time,John Martinez,1991-12-12,Australia,Exist discussion continue.,Comedy,2016,3,Edwards PLC,North Branditown
360,108,hour,Amber Smith,1948-12-12,Canada,May win modern.,Horror,2000,3,Edwards PLC,North Branditown
382,195,next,Mary Bennett,1956-08-17,Australia,Amount clear.,Horror,2001,2,Cole PLC,Wilsonburgh
262,164,pull,Patricia Vasquez,1956-01-25,UK,While clear research.,Action,1998,11,"Lopez, Robinson and Sloan",Port Aprilport
247,245,hold,Justin Quinn,1945-11-10,Australia,Budget customer blood.,Horror,2023,10,Smith-Fuentes,North David
354,251,report,Patricia Obrien,1967-07-11,USA,Sing difficult.,Action,2008,9,"Johnson, Smith and Myers",New Samanthachester
14,286,continue,Meghan Dunn,1993-10-23,Canada,As sister art.,Action,2017,4,Hanna-Lowe,South Michaelhaven
22,2,mention,Michael Smith,1989-03-02,UK,Bank whether yet leg.,Horror,2023,13,Moore LLC,Roblesfurt
296,282,employee,Pamela Suarez,1970-11-06,UK,Us.,Horror,2014,7,Henderson LLC,West Cassie
212,79,trouble,Mrs. Judith Price,1987-06-08,Australia,Worry even.,Comedy,2024,5,Frazier-Turner,Ramosshire
13,178,manager,Alec Miller,1958-06-20,USA,Field executive.,Action,2015,11,"Lopez, Robinson and Sloan",Port Aprilport
279,249,medical,Kevin Vazquez,1992-11-01,Canada,Front soon.,Horror,1980,5,Frazier-Turner,Ramosshire
94,209,western,Eric Anderson,1982-05-05,USA,Movement or.,Comedy,2019,15,Schultz-Mann,North Roberto
259,16,if,Andrew Robbins,1985-09-03,USA,Wear nice.,Drama,2017,11,"Lopez, Robinson and Sloan",Port Aprilport
171,221,factor,April Edwards,1950-04-21,Canada,About certainly.,Drama,2003,10,Smith-Fuentes,North David
388,82,leader,Paula Williams,1951-04-20,Australia,Reality.,Drama,2020,12,Martin-Harrell,Moralesmouth
62,255,reduce,Debbie Mccoy,2001-12-19,Canada,Front generation surface.,Horror,1988,1,Berry LLC,New Charlesfurt
